,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Atonsu  High School Junction,2023-10-31T11:08:17.000,6.65909,-1.5936683,91.0,12.0,14.0,14.0,70.0
2,Atonsu  High School Junction,2023-10-31T11:08:22.000,6.65909,-1.5936683,91.0,9.0,10.0,9.0,68.0
3,Atonsu  High School Junction,2023-10-31T11:08:27.000,6.65909,-1.5936683,92.0,8.0,9.0,9.0,68.0
4,Atonsu  High School Junction,2023-10-31T11:08:32.000,6.65909,-1.5936683,92.0,7.0,8.0,8.0,68.0
5,Atonsu  High School Junction,2023-10-31T11:08:37.000,6.65909,-1.5936683,92.0,7.0,8.0,8.0,68.0
6,Atonsu  High School Junction,2023-10-31T11:08:42.000,6.65909,-1.5936683,92.0,8.0,9.0,8.0,68.0
7,Atonsu  High School Junction,2023-10-31T11:08:47.000,6.65909,-1.5936683,92.0,10.0,11.0,10.0,68.0
8,Atonsu  High School Junction,2023-10-31T11:08:52.000,6.65909,-1.5936683,92.0,10.0,11.0,11.0,68.0
9,Atonsu  High School Junction,2023-10-31T11:08:57.000,6.65909,-1.5936683,92.0,13.0,15.0,14.0,67.0
10,Atonsu  High School Junction,2023-10-31T11:09:02.000,6.65909,-1.5936683,92.0,16.0,18.0,17.0,67.0
11,Atonsu  High School Junction,2023-10-31T11:09:07.000,6.65909,-1.5936683,92.0,17.0,20.0,19.0,67.0
12,Atonsu  High School Junction,2023-10-31T11:09:12.000,6.65909,-1.5936683,93.0,16.0,18.0,17.0,67.0
13,Atonsu  High School Junction,2023-10-31T11:09:17.000,6.65909,-1.5936683,93.0,15.0,17.0,16.0,67.0
14,Atonsu  High School Junction,2023-10-31T11:09:22.000,6.65909,-1.5936683,93.0,13.0,14.0,14.0,66.0
15,Atonsu  High School Junction,2023-10-31T11:09:27.000,6.65909,-1.5936683,93.0,11.0,12.0,12.0,66.0
16,Atonsu  High School Junction,2023-10-31T11:09:32.000,6.65909,-1.5936683,93.0,12.0,13.0,13.0,67.0
17,Atonsu  High School Junction,2023-10-31T11:09:37.000,6.65909,-1.5936683,93.0,17.0,20.0,19.0,67.0
18,Atonsu  High School Junction,2023-10-31T11:09:42.000,6.65909,-1.5936683,93.0,19.0,23.0,21.0,67.0
19,Atonsu  High School Junction,2023-10-31T11:09:47.000,6.65909,-1.5936683,93.0,16.0,19.0,18.0,68.0
20,Atonsu  High School Junction,2023-10-31T11:09:52.000,6.6590848,-1.5936278,94.0,13.0,15.0,14.0,67.0
21,Atonsu  High School Junction,2023-10-31T11:09:57.000,6.6590932,-1.593607,94.0,11.0,12.0,12.0,67.0
22,Atonsu  High School Junction,2023-10-31T11:10:02.000,6.6591001,-1.5936087,94.0,10.0,11.0,10.0,66.0
23,Atonsu  High School Junction,2023-10-31T11:10:07.000,6.6591376,-1.5935939,94.0,10.0,11.0,10.0,66.0
24,Atonsu  High School Junction,2023-10-31T11:10:12.000,6.6591711,-1.5936054,94.0,9.0,10.0,9.0,66.0
25,Atonsu  High School Junction,2023-10-31T11:10:17.000,6.6591831,-1.5936189,94.0,10.0,11.0,11.0,65.0
26,Atonsu  High School Junction,2023-10-31T11:10:22.000,6.6591872,-1.5936179,94.0,10.0,11.0,11.0,66.0
27,Atonsu  High School Junction,2023-10-31T11:10:27.000,6.6591883,-1.5936183,94.0,11.0,12.0,12.0,66.0
28,Atonsu  High School Junction,2023-10-31T11:10:32.000,6.6592141,-1.5936244,94.0,11.0,12.0,12.0,66.0
29,Atonsu  High School Junction,2023-10-31T11:10:37.000,6.6592176,-1.5936275,94.0,9.0,11.0,10.0,65.0
30,Atonsu  High School Junction,2023-10-31T11:10:42.000,6.6592193,-1.59364,94.0,8.0,9.0,9.0,65.0
31,Atonsu  High School Junction,2023-10-31T11:10:47.000,6.65922,-1.5936416,94.0,7.0,8.0,8.0,66.0
32,Atonsu  High School Junction,2023-10-31T11:10:52.000,6.65922,-1.5936417,94.0,7.0,8.0,8.0,65.0
33,Atonsu  High School Junction,2023-10-31T11:10:57.000,6.65922,-1.5936417,95.0,9.0,11.0,10.0,65.0
34,Atonsu  High School Junction,2023-10-31T11:11:02.000,6.65922,-1.5936417,95.0,10.0,11.0,10.0,64.0
35,Atonsu  High School Junction,2023-10-31T11:11:07.000,6.65922,-1.5936417,95.0,8.0,10.0,9.0,64.0
36,Atonsu  High School Junction,2023-10-31T11:11:12.000,6.6592254,-1.5936691,95.0,9.0,10.0,9.0,64.0
37,Atonsu  High School Junction,2023-10-31T11:11:17.000,6.6592301,-1.5937025,95.0,7.0,8.0,8.0,63.0
38,Atonsu  High School Junction,2023-10-31T11:11:22.000,6.65923,-1.5937033,95.0,7.0,8.0,8.0,63.0
39,Atonsu  High School Junction,2023-10-31T11:11:27.000,6.65923,-1.5937033,95.0,7.0,8.0,8.0,63.0
40,Atonsu  High School Junction,2023-10-31T11:11:32.000,6.65923,-1.5937033,95.0,7.0,8.0,8.0,62.0
41,Atonsu  High School Junction,2023-10-31T11:11:37.000,6.65923,-1.5937033,95.0,8.0,10.0,9.0,62.0
42,Atonsu  High School Junction,2023-10-31T11:11:42.000,6.6591942,-1.5936544,95.0,6.0,7.0,7.0,62.0
43,Atonsu  High School Junction,2023-10-31T11:11:47.000,6.6591886,-1.5936454,95.0,7.0,8.0,8.0,63.0
44,Atonsu  High School Junction,2023-10-31T11:11:52.000,6.6591883,-1.593645,95.0,5.0,6.0,6.0,62.0
45,Atonsu  High School Junction,2023-10-31T11:11:57.000,6.6591883,-1.593645,95.0,5.0,6.0,6.0,62.0
46,Atonsu  High School Junction,2023-10-31T11:12:02.000,6.6591876,-1.59367,95.0,5.0,6.0,6.0,62.0
47,Atonsu  High School Junction,2023-10-31T11:12:07.000,6.659185,-1.5936776,95.0,5.0,6.0,6.0,62.0
48,Atonsu  High School Junction,2023-10-31T11:12:12.000,6.659185,-1.5936783,95.0,5.0,6.0,6.0,62.0
49,Atonsu  High School Junction,2023-10-31T11:12:17.000,6.659185,-1.5936783,95.0,6.0,7.0,7.0,62.0
50,Atonsu  High School Junction,2023-10-31T11:12:22.000,6.659185,-1.5936783,95.0,7.0,8.0,8.0,62.0
51,Atonsu  High School Junction,2023-10-31T11:12:27.000,6.659185,-1.5936783,95.0,11.0,12.0,11.0,62.0
52,Atonsu  High School Junction,2023-10-31T11:12:32.000,6.659185,-1.5936783,95.0,11.0,12.0,12.0,62.0
53,Atonsu  High School Junction,2023-10-31T11:12:37.000,6.659185,-1.5936783,95.0,10.0,11.0,11.0,62.0
54,Atonsu  High School Junction,2023-10-31T11:12:42.000,6.659185,-1.5936783,95.0,11.0,12.0,12.0,62.0
55,Atonsu  High School Junction,2023-10-31T11:12:47.000,6.659185,-1.5936783,95.0,11.0,12.0,12.0,62.0
56,Atonsu  High School Junction,2023-10-31T11:12:52.000,6.659185,-1.5936783,95.0,12.0,13.0,13.0,62.0
57,Atonsu  High School Junction,2023-10-31T11:12:57.000,6.659185,-1.5936783,95.0,13.0,14.0,14.0,62.0
58,Atonsu  High School Junction,2023-10-31T11:13:02.000,6.659185,-1.5936783,95.0,11.0,12.0,12.0,62.0
59,Atonsu  High School Junction,2023-10-31T11:13:07.000,6.659185,-1.5936783,95.0,11.0,12.0,12.0,62.0
60,Atonsu  High School Junction,2023-10-31T11:13:12.000,6.659185,-1.5936783,95.0,10.0,11.0,10.0,62.0
61,Atonsu  High School Junction,2023-10-31T11:13:17.000,6.6592192,-1.5936606,95.0,8.0,10.0,9.0,62.0
62,Atonsu  High School Junction,2023-10-31T11:13:22.000,6.6592214,-1.5936757,95.0,9.0,10.0,9.0,61.0
63,Atonsu  High School Junction,2023-10-31T11:13:27.000,6.6592406,-1.5936748,95.0,10.0,11.0,11.0,62.0
64,Atonsu  High School Junction,2023-10-31T11:13:32.000,6.6592432,-1.593675,95.0,12.0,13.0,13.0,62.0
65,Atonsu  High School Junction,2023-10-31T11:13:37.000,6.6592433,-1.593675,96.0,11.0,12.0,12.0,62.0
66,Atonsu  High School Junction,2023-10-31T11:13:42.000,6.6592433,-1.593675,96.0,11.0,12.0,12.0,62.0
67,Atonsu  High School Junction,2023-10-31T11:13:47.000,6.6592433,-1.593675,96.0,10.0,11.0,10.0,62.0
68,Atonsu  High School Junction,2023-10-31T11:13:52.000,6.6592433,-1.593675,96.0,10.0,11.0,10.0,62.0
69,Atonsu  High School Junction,2023-10-31T11:13:57.000,6.6592433,-1.593675,96.0,11.0,12.0,11.0,62.0
70,Atonsu  High School Junction,2023-10-31T11:14:02.000,6.6592433,-1.593675,96.0,10.0,11.0,10.0,62.0
71,Atonsu  High School Junction,2023-10-31T11:14:07.000,6.6592433,-1.593675,96.0,11.0,12.0,12.0,61.0
72,Atonsu  High School Junction,2023-10-31T11:14:12.000,6.6592433,-1.593675,96.0,10.0,11.0,10.0,61.0
73,Atonsu  High School Junction,2023-10-31T11:14:17.000,6.6592127,-1.5936547,96.0,10.0,11.0,10.0,62.0
74,Atonsu  High School Junction,2023-10-31T11:14:22.000,6.6592149,-1.5936582,96.0,9.0,10.0,9.0,62.0
75,Atonsu  High School Junction,2023-10-31T11:14:27.000,6.659215,-1.5936583,96.0,10.0,11.0,10.0,61.0
76,Atonsu  High School Junction,2023-10-31T11:14:32.000,6.659215,-1.5936583,96.0,11.0,12.0,12.0,61.0
77,Atonsu  High School Junction,2023-10-31T11:14:37.000,6.659215,-1.5936583,96.0,11.0,12.0,12.0,61.0
78,Atonsu  High School Junction,2023-10-31T11:14:42.000,6.659215,-1.5936583,96.0,11.0,12.0,12.0,61.0
