,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40,AirBeam3:e868e7389e40
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Kumasi Abatua,2023-10-30T11:47:37.000,6.6601704,-1.6047076,88.0,11.0,13.0,12.0,52.0
2,Kumasi Abatua,2023-10-30T11:47:38.000,6.6601704,-1.6047076,88.0,10.0,11.0,10.0,48.0
3,Kumasi Abatua,2023-10-30T11:47:39.000,6.6601704,-1.6047076,88.0,10.0,11.0,10.0,48.0
4,Kumasi Abatua,2023-10-30T11:47:40.000,6.6601704,-1.6047076,88.0,8.0,10.0,9.0,48.0
5,Kumasi Abatua,2023-10-30T11:47:41.000,6.6601704,-1.6047076,88.0,10.0,11.0,10.0,48.0
6,Kumasi Abatua,2023-10-30T11:47:42.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
7,Kumasi Abatua,2023-10-30T11:47:43.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
8,Kumasi Abatua,2023-10-30T11:47:44.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
9,Kumasi Abatua,2023-10-30T11:47:45.000,6.6601704,-1.6047076,88.0,8.0,10.0,9.0,48.0
10,Kumasi Abatua,2023-10-30T11:47:46.000,6.6601704,-1.6047076,88.0,8.0,10.0,9.0,48.0
11,Kumasi Abatua,2023-10-30T11:47:47.000,6.6601704,-1.6047076,88.0,10.0,11.0,10.0,48.0
12,Kumasi Abatua,2023-10-30T11:47:48.000,6.6601704,-1.6047076,88.0,10.0,11.0,10.0,48.0
13,Kumasi Abatua,2023-10-30T11:47:49.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
14,Kumasi Abatua,2023-10-30T11:47:50.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
15,Kumasi Abatua,2023-10-30T11:47:51.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
16,Kumasi Abatua,2023-10-30T11:47:52.000,6.6601704,-1.6047076,88.0,12.0,13.0,13.0,48.0
17,Kumasi Abatua,2023-10-30T11:47:53.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
18,Kumasi Abatua,2023-10-30T11:47:54.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
19,Kumasi Abatua,2023-10-30T11:47:55.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
20,Kumasi Abatua,2023-10-30T11:47:56.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
21,Kumasi Abatua,2023-10-30T11:47:57.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
22,Kumasi Abatua,2023-10-30T11:47:58.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
23,Kumasi Abatua,2023-10-30T11:47:59.000,6.6601704,-1.6047076,88.0,11.0,12.0,12.0,48.0
24,Kumasi Abatua,2023-10-30T11:48:00.000,6.6601704,-1.6047076,88.0,12.0,13.0,13.0,48.0
25,Kumasi Abatua,2023-10-30T11:48:01.000,6.6601704,-1.6047076,88.0,12.0,13.0,13.0,48.0
26,Kumasi Abatua,2023-10-30T11:48:02.000,6.6601704,-1.6047076,88.0,12.0,13.0,13.0,48.0
27,Kumasi Abatua,2023-10-30T11:48:03.000,6.6601704,-1.6047076,88.0,12.0,13.0,13.0,48.0
28,Kumasi Abatua,2023-10-30T11:48:04.000,6.6601704,-1.6047076,88.0,12.0,13.0,13.0,48.0
29,Kumasi Abatua,2023-10-30T11:48:05.000,6.6601704,-1.6047076,88.0,12.0,13.0,13.0,48.0
30,Kumasi Abatua,2023-10-30T11:48:06.000,6.66017,-1.6047082,88.0,12.0,13.0,13.0,48.0
31,Kumasi Abatua,2023-10-30T11:48:07.000,6.660172,-1.6047079,88.0,12.0,13.0,13.0,48.0
32,Kumasi Abatua,2023-10-30T11:48:08.000,6.6601754,-1.6047056,88.0,11.0,12.0,12.0,48.0
33,Kumasi Abatua,2023-10-30T11:48:09.000,6.6601721,-1.6047169,88.0,11.0,12.0,12.0,48.0
34,Kumasi Abatua,2023-10-30T11:48:10.000,6.660168,-1.6047274,88.0,11.0,12.0,12.0,48.0
35,Kumasi Abatua,2023-10-30T11:48:11.000,6.6601641,-1.6047372,88.0,12.0,13.0,13.0,48.0
36,Kumasi Abatua,2023-10-30T11:48:12.000,6.6601631,-1.6047397,88.0,12.0,13.0,13.0,48.0
37,Kumasi Abatua,2023-10-30T11:48:13.000,6.6601627,-1.6047404,88.0,12.0,13.0,13.0,48.0
38,Kumasi Abatua,2023-10-30T11:48:14.000,6.6601626,-1.6047406,88.0,12.0,13.0,13.0,48.0
39,Kumasi Abatua,2023-10-30T11:48:15.000,6.6601626,-1.6047406,88.0,11.0,12.0,12.0,47.0
40,Kumasi Abatua,2023-10-30T11:48:16.000,6.6601626,-1.6047401,88.0,11.0,12.0,12.0,47.0
41,Kumasi Abatua,2023-10-30T11:48:17.000,6.6601635,-1.6047399,88.0,11.0,12.0,12.0,47.0
42,Kumasi Abatua,2023-10-30T11:48:18.000,6.6601635,-1.6047399,88.0,11.0,12.0,12.0,47.0
43,Kumasi Abatua,2023-10-30T11:48:19.000,6.6601639,-1.6047401,88.0,11.0,12.0,12.0,47.0
44,Kumasi Abatua,2023-10-30T11:48:20.000,6.660164,-1.6047403,88.0,11.0,12.0,12.0,47.0
45,Kumasi Abatua,2023-10-30T11:48:21.000,6.660164,-1.6047403,88.0,11.0,12.0,12.0,47.0
46,Kumasi Abatua,2023-10-30T11:48:22.000,6.6601645,-1.6047409,88.0,12.0,13.0,13.0,47.0
47,Kumasi Abatua,2023-10-30T11:48:23.000,6.6601645,-1.6047414,88.0,12.0,13.0,13.0,47.0
48,Kumasi Abatua,2023-10-30T11:48:24.000,6.6601643,-1.6047417,88.0,12.0,13.0,13.0,47.0
49,Kumasi Abatua,2023-10-30T11:48:25.000,6.6601642,-1.6047417,88.0,12.0,13.0,13.0,47.0
50,Kumasi Abatua,2023-10-30T11:48:26.000,6.6601642,-1.6047417,88.0,12.0,13.0,13.0,47.0
51,Kumasi Abatua,2023-10-30T11:48:27.000,6.660164,-1.6047426,88.0,12.0,13.0,13.0,47.0
52,Kumasi Abatua,2023-10-30T11:48:28.000,6.660164,-1.6047426,88.0,12.0,13.0,13.0,47.0
53,Kumasi Abatua,2023-10-30T11:48:29.000,6.6601632,-1.6047466,88.0,12.0,13.0,13.0,47.0
54,Kumasi Abatua,2023-10-30T11:48:30.000,6.6601633,-1.604748,88.0,12.0,13.0,13.0,47.0
55,Kumasi Abatua,2023-10-30T11:48:31.000,6.6601627,-1.6047499,88.0,12.0,13.0,13.0,47.0
56,Kumasi Abatua,2023-10-30T11:48:32.000,6.6601627,-1.6047499,88.0,12.0,13.0,13.0,47.0
57,Kumasi Abatua,2023-10-30T11:48:33.000,6.6601611,-1.6047522,88.0,12.0,13.0,13.0,47.0
58,Kumasi Abatua,2023-10-30T11:48:34.000,6.6601605,-1.6047533,88.0,12.0,13.0,13.0,47.0
59,Kumasi Abatua,2023-10-30T11:48:35.000,6.6601603,-1.6047545,88.0,11.0,12.0,12.0,47.0
60,Kumasi Abatua,2023-10-30T11:48:36.000,6.6601603,-1.6047545,88.0,11.0,12.0,12.0,47.0
61,Kumasi Abatua,2023-10-30T11:48:37.000,6.6601599,-1.6047559,88.0,11.0,12.0,12.0,47.0
62,Kumasi Abatua,2023-10-30T11:48:38.000,6.6601601,-1.6047562,88.0,12.0,13.0,13.0,47.0
63,Kumasi Abatua,2023-10-30T11:48:39.000,6.6601603,-1.6047571,88.0,12.0,13.0,13.0,47.0
64,Kumasi Abatua,2023-10-30T11:48:40.000,6.6601603,-1.6047571,88.0,11.0,12.0,12.0,47.0
65,Kumasi Abatua,2023-10-30T11:48:41.000,6.6601589,-1.6047579,88.0,11.0,12.0,12.0,47.0
66,Kumasi Abatua,2023-10-30T11:48:42.000,6.6601577,-1.6047649,88.0,11.0,12.0,12.0,47.0
67,Kumasi Abatua,2023-10-30T11:48:43.000,6.6601564,-1.6047814,88.0,11.0,12.0,12.0,47.0
68,Kumasi Abatua,2023-10-30T11:48:44.000,6.6601565,-1.604782,88.0,11.0,12.0,12.0,47.0
69,Kumasi Abatua,2023-10-30T11:48:45.000,6.6601565,-1.604782,88.0,10.0,11.0,10.0,47.0
70,Kumasi Abatua,2023-10-30T11:48:46.000,6.6601567,-1.6047853,88.0,10.0,11.0,10.0,47.0
71,Kumasi Abatua,2023-10-30T11:48:47.000,6.6601562,-1.6047861,88.0,10.0,11.0,10.0,47.0
72,Kumasi Abatua,2023-10-30T11:48:48.000,6.6601595,-1.6047815,88.0,10.0,11.0,10.0,47.0
73,Kumasi Abatua,2023-10-30T11:48:49.000,6.6601671,-1.6047733,88.0,10.0,11.0,10.0,47.0
74,Kumasi Abatua,2023-10-30T11:48:50.000,6.6601727,-1.6047675,88.0,10.0,11.0,10.0,47.0
75,Kumasi Abatua,2023-10-30T11:48:51.000,6.6601769,-1.6047617,88.0,10.0,11.0,10.0,47.0
76,Kumasi Abatua,2023-10-30T11:48:52.000,6.6601786,-1.604755,88.0,8.0,10.0,9.0,47.0
77,Kumasi Abatua,2023-10-30T11:48:53.000,6.6601786,-1.604755,88.0,8.0,10.0,9.0,47.0
78,Kumasi Abatua,2023-10-30T11:48:54.000,6.6601613,-1.6047852,88.0,8.0,10.0,9.0,47.0
79,Kumasi Abatua,2023-10-30T11:48:55.000,6.6601568,-1.6047923,88.0,10.0,11.0,10.0,47.0
80,Kumasi Abatua,2023-10-30T11:48:56.000,6.6601568,-1.6047923,88.0,10.0,11.0,10.0,47.0
