aqi,csecs,c00_30,c00_50,c01_00,c02_50,motion,pm01_0,pm02_5,pm10_0,sensor,voltage,csamples,humidity,pressure,aqi_level,pm01_0cf1,pm02_5cf1,pm10_0cf1,pm01_0_rstd,pm02_5_rstd,pm10_0_rstd,temperature,aqi_algorithm,device_uid,captured,location,lat,lon,serial_number,heatIndex
53,60,1721,483,77,7,1,7.8333335,13.055555,13.777778,pms7003,4.234375,36,50.495735,98349.68,moderate,7.8333335,13.055555,13.777778,0.25268555,0.19018555,0.19250488,35.21614,cf-atm,dev:864475046524962,2023-11-01T11:42:41Z,Kumasi,6.6274375,-1.59330859375,BORI - KHANA LGA,106.5085681146972
81,60,3446,952,162,15,2,17,26.348837,28.767443,pms7003,4.21875,43,51.263462,98390.96,moderate,18.511627,28.348837,28.767443,0.42822266,0.38867188,0.40771484,34.349247,cf-atm,dev:864475046524962,2023-11-01T11:12:43Z,Kumasi,6.6274375,-1.59330859375,BORI - KHANA LGA,
38,60,1449,396,57,5,,5.714286,9.228572,10.057143,pms7003,4.2265625,35,52.52457,98440.914,good,5.714286,9.228572,10.057143,0.1619873,0.13671875,0.076049805,33.786278,cf-atm,dev:864475046524962,2023-11-01T10:42:41Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
55,60,1829,508,91,6,8,7.9722223,13.861111,14.305555,pms7003,4.2109375,36,53.63394,98466.625,moderate,7.9722223,13.861111,14.305555,0.15136719,0.17932129,0.1652832,33.328873,cf-atm,dev:864475046524962,2023-11-01T10:12:41Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
102,60,4181,1213,275,32,12,21.404255,35.80851,43.468086,pms7003,4.2070312,47,54.332172,98479.33,unhealthy-if-sensitive,23,41.255318,46.787235,0.101989746,0.18127441,0.2788086,34.146294,cf-atm,dev:864475046524962,2023-11-01T09:42:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
105,60,5131,1447,245,13,6,24.333334,37,43.28205,pms7003,4.1953125,39,61.2791,98467.47,unhealthy-if-sensitive,28.487179,42.615383,44.46154,0.10681152,0.09051514,0.12359619,32.10454,cf-atm,dev:864475046524962,2023-11-01T09:12:39Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
96,60,4189,1187,202,20,,21.538462,33.615383,38.307693,pms7003,4.1835938,39,66.76896,98439.34,moderate,23.153847,36.74359,38.307693,0.031677246,0.037139893,0.037963867,30.881756,cf-atm,dev:864475046524962,2023-11-01T08:42:41Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
101,60,4701,1345,233,19,,23.244444,35.6,43.488888,pms7003,4.1757812,45,74.76455,98428.97,unhealthy-if-sensitive,26.533333,40.066666,44.02222,0.043182373,0.03564453,0.052703857,28.768692,cf-atm,dev:864475046524962,2023-11-01T08:12:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
152,60,10188,2904,530,32,,38.91892,57.027027,68.297295,pms7003,4.1640625,37,83.155785,98389.89,unhealthy,59.648647,87,90.10811,0.048217773,0.03161621,0.019485474,26.669954,cf-atm,dev:864475046524962,2023-11-01T07:42:39Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
156,60,11302,3262,600,48,,43.558823,65.64706,74.79412,pms7003,4.171875,34,91.05067,98369.336,unhealthy,66.76471,99.73529,107.32353,0.06713867,0.07775879,0.0390625,24.337233,cf-atm,dev:864475046524962,2023-11-01T07:12:41Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
188,60,21472,6252,1166,101,,82.77778,126.755554,134.31111,pms7003,4.1796875,45,92.88585,98325.31,unhealthy,125.48889,191.46666,202.75555,0.048309326,0.04660034,0.06463623,23.493898,cf-atm,dev:864475046524962,2023-11-01T06:42:39Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
146,60,9352,2668,487,39,,35.372093,53.604652,65.860466,pms7003,4.1796875,43,93.237816,98296.305,unhealthy-if-sensitive,54.44186,81.37209,84.53488,0.0385437,0.03970337,0.029373169,23.293009,cf-atm,dev:864475046524962,2023-11-01T06:12:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
130,60,7447,2161,397,30,,31.34,47.44,59.9,pms7003,4.1835938,50,92.84086,98272.81,unhealthy-if-sensitive,43.9,65.82,71.18,0.021972656,0.0181427,0.02192688,23.225706,cf-atm,dev:864475046524962,2023-11-01T05:42:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
117,60,5871,1679,326,25,,27.177778,42.155556,51.355556,pms7003,4.1835938,45,93.18187,98245.49,unhealthy-if-sensitive,34.155556,52.822224,56.22222,0.01625061,0.0236969,0.020828247,23.155853,cf-atm,dev:864475046524962,2023-11-01T05:12:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
119,60,5801,1664,331,30,,27.12245,42.632652,52,pms7003,4.1875,49,93.08799,98214.945,unhealthy-if-sensitive,33.510204,53.285713,57.061226,0.025665283,0.023788452,0.031402588,23.034504,cf-atm,dev:864475046524962,2023-11-01T04:42:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
142,60,8757,2521,492,39,,33.64706,52.117645,65.62745,pms7003,4.1875,51,92.87107,98228.45,unhealthy-if-sensitive,50.411766,78.56863,84.09804,0.01663208,0.025360107,0.03062439,22.997793,cf-atm,dev:864475046524962,2023-11-01T04:12:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
153,60,10291,2971,562,50,,38.97619,60.214287,71.7381,pms7003,4.1914062,42,92.58669,98243.016,unhealthy,59.97619,91.78571,99.09524,0.020812988,0.024475098,0.02772522,23.114044,cf-atm,dev:864475046524962,2023-11-01T03:42:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
97,60,4299,1237,240,16,,21.666666,34.25,40,pms7003,4.1914062,36,92.34197,98255.23,moderate,23.777779,37.833332,40,0.039764404,0.023544312,0.040985107,23.033995,cf-atm,dev:864475046524962,2023-11-01T03:12:39Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
135,60,7668,2213,428,42,,32,49.333332,62.041668,pms7003,4.1953125,48,91.070465,98249.88,unhealthy-if-sensitive,45.229168,70.395836,76.104164,0.024124146,0.021865845,0.022537231,23.267515,cf-atm,dev:864475046524962,2023-11-01T02:42:40Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
138,60,7951,2283,451,39,,32.604168,50.395832,63.145832,pms7003,4.1953125,48,91.51003,98277.76,unhealthy-if-sensitive,46.854168,72.875,78,0.025878906,0.021942139,0.023773193,23.519392,cf-atm,dev:864475046524962,2023-11-01T02:12:39Z,Kumasi,6.6273775,-1.5933632812499998,BORI - KHANA LGA,
